,,
,,
,,
,,
FIPS_Code,Stabr,PCTPOVALL_2021
17183,IL,19.7
17185,IL,14.5
17187,IL,13.3
17189,IL,8.5
17191,IL,14.3
17193,IL,15.7
17195,IL,13.2
17197,IL,7.9
17199,IL,14.7
17201,IL,14.2
17203,IL,6.7
18000,IN,12.1
18001,IN,12.6
18003,IN,13.1
18005,IN,8.1
18007,IN,10.5
18009,IN,12.9
18011,IN,5.5
18013,IN,10.8
18015,IN,8.5
18017,IN,12.1
18019,IN,10.4
18021,IN,11.1
18023,IN,10.4
18025,IN,15.4
18027,IN,12.7
18029,IN,7.6
18031,IN,9.9
18033,IN,8
18035,IN,18.4
18037,IN,7.5
18039,IN,11.3
18041,IN,13.6
18043,IN,9.2
18045,IN,10.6
18047,IN,8.6
18049,IN,11.1
18051,IN,11.4
18053,IN,18.8
18055,IN,14.3
18057,IN,3.8
18059,IN,5.5
18061,IN,8.5
18063,IN,5.3
18065,IN,15.1
18067,IN,11.9
18069,IN,10.6
18071,IN,14.2
18073,IN,8.7
18075,IN,13.6
18077,IN,11.6
18079,IN,12.7
18081,IN,7.5
18083,IN,15
18085,IN,9.4
18087,IN,7.5
18089,IN,13.9
18091,IN,12.2
18093,IN,12.6
18095,IN,15.7
18097,IN,15.1
18099,IN,8.6
18101,IN,11.6
18103,IN,14.9
18105,IN,21.1
18107,IN,11.7
18109,IN,10.3
18111,IN,11.9
18113,IN,9.1
18115,IN,9.1
18117,IN,14.4
18119,IN,11.3
18121,IN,16
18123,IN,12.8
18125,IN,11.3
18127,IN,9.7
18129,IN,9.1
18131,IN,11.5
18133,IN,12
18135,IN,14
18137,IN,8.9
18139,IN,11
18141,IN,14.3
18143,IN,14.4
18145,IN,9.9
18147,IN,8.1
18149,IN,14.2
18151,IN,9.7
18153,IN,16.2
18155,IN,13.9
18157,IN,17.7
18159,IN,9
18161,IN,11.2
18163,IN,13.9
18165,IN,12.4
18167,IN,20.4
18169,IN,11.2
18171,IN,8.9
18173,IN,6.8
18175,IN,11.3
18177,IN,15.9
18179,IN,7.6
18181,IN,10
18183,IN,7.3
19000,IA,11
19001,IA,10.2
19003,IA,10.6
19005,IA,9.9
19007,IA,17
19009,IA,10.2
19011,IA,8.4
19013,IA,13.5
19015,IA,7.8
19017,IA,7.1
19019,IA,9.8
19021,IA,10.8
19023,IA,8.8
19025,IA,12.1
19027,IA,9.3
19029,IA,14.4
19031,IA,7.3
19033,IA,11.7
19035,IA,10.2
19037,IA,8.5
19039,IA,9.6
19041,IA,9.4
19043,IA,10
19045,IA,11.5
19047,IA,11.4
19049,IA,5.3
19051,IA,10.1
19053,IA,16.5
19055,IA,9.1
19057,IA,13.2
19059,IA,7.5
19061,IA,8.1
19063,IA,11.5
19065,IA,11.8
19067,IA,11.3
19069,IA,10.1
19071,IA,10.5
19073,IA,11.3
19075,IA,6.3
19077,IA,9.8
19079,IA,8.3
19081,IA,8.7
19083,IA,9.7
19085,IA,10.4
19087,IA,12.2
19089,IA,9.9
19091,IA,10
19093,IA,10.7
19095,IA,7.7
19097,IA,11.8
19099,IA,9.3
19101,IA,13.5
19103,IA,14.7
19105,IA,10.5
19107,IA,11.2
19109,IA,10.5
19111,IA,14.1
19113,IA,9.7
19115,IA,11.1
19117,IA,12.9
19119,IA,6.9
19121,IA,7.4
19123,IA,12.5
19125,IA,8.6
19127,IA,11.6
19129,IA,8.5
19131,IA,8.8
19133,IA,12.1
19135,IA,10.5
19137,IA,11.7
19139,IA,11.1
19141,IA,10.2
19143,IA,9
19145,IA,16.2
19147,IA,11.8
19149,IA,7.2
19151,IA,10.1
19153,IA,10.1
19155,IA,12.3
19157,IA,12.6
19159,IA,13.3
19161,IA,10
19163,IA,12.9
19165,IA,8
19167,IA,6.6
19169,IA,17.9
19171,IA,12.9
19173,IA,12.8
19175,IA,12.8
19177,IA,12.7
19179,IA,15.5
19181,IA,5.4
19183,IA,8.7
19185,IA,13.4
19187,IA,14.8
19189,IA,10.5
19191,IA,8.7
19193,IA,15.5
19195,IA,9.8
19197,IA,10.5
20000,KS,11.6
20001,KS,16.1
20003,KS,12.1
20005,KS,14.7
20007,KS,10.8
20009,KS,14.2
20011,KS,15.2
20013,KS,14
20015,KS,9.6
20017,KS,10.9
20019,KS,15.5
20021,KS,14.9
20023,KS,13.8
20025,KS,11.4
20027,KS,9.7
20029,KS,13.3
20031,KS,9.3
20033,KS,10
20035,KS,13.9
20037,KS,21.3
20039,KS,12.3
20041,KS,9.9
20043,KS,12.7
20045,KS,15.9
20047,KS,12
20049,KS,16.2
20051,KS,12.5
20053,KS,10.7
20055,KS,12.5
20057,KS,11.6
20059,KS,10.3
20061,KS,12.5
20063,KS,9.8
20065,KS,12.4
20067,KS,11.2
20069,KS,7.5
20071,KS,9.5
20073,KS,15.3
20075,KS,11.9
20077,KS,16.3
20079,KS,9.6
20081,KS,9.5
20083,KS,9.6
20085,KS,9.3
20087,KS,8
20089,KS,13.2
20091,KS,5.9
20093,KS,10.4
20095,KS,11.7
20097,KS,11.5
20099,KS,16.9
20101,KS,9.3
20103,KS,8.7
20105,KS,11.2
20107,KS,11.8
20109,KS,8.9
20111,KS,13.8
20113,KS,8.7
20115,KS,10.6
20117,KS,10.6
20119,KS,9.7
20121,KS,7.2
20123,KS,10.3
20125,KS,15.9
20127,KS,10.8
20129,KS,11.3
20131,KS,8.4
20133,KS,15
20135,KS,9.6
20137,KS,12.9
20139,KS,10.1
20141,KS,12.1
20143,KS,10.7
20145,KS,14.9
20147,KS,12
20149,KS,8
20151,KS,11.7
20153,KS,11.5
20155,KS,13.1
20157,KS,11.2
20159,KS,12.9
20161,KS,17.6
20163,KS,10
20165,KS,13.1
20167,KS,14.5
20169,KS,12.9
20171,KS,7.2
20173,KS,13.3
20175,KS,13.7
20177,KS,14.6
20179,KS,11.1
20181,KS,13.5
20183,KS,12.1
20185,KS,12.4
20187,KS,10.9
20189,KS,9.9
20191,KS,12.2
20193,KS,8.7
20195,KS,10.5
20197,KS,7.7
20199,KS,12.4
20201,KS,9.9
20203,KS,11.3
20205,KS,17.1
20207,KS,14.2
20209,KS,16.9
21000,KY,16.3
21001,KY,24.2
21003,KY,17.1
21005,KY,9
21007,KY,14.4
21009,KY,19.3
21011,KY,20.6
21013,KY,32.1
21015,KY,6.4
21017,KY,15.1
21019,KY,21
21021,KY,15.5
21023,KY,14.8
21025,KY,31
21027,KY,16.9
21029,KY,11.1
21031,KY,18.2
21033,KY,16.1
21035,KY,16.8
21037,KY,11.1
21039,KY,15.6
21041,KY,17.9
21043,KY,25.6
21045,KY,20.7
