"Educational attainment for adults age 25 and older for the U.S., States, and counties, 1970–2021",,,,
"Note: For 1970 and 1980, the share of adults with less than high school includes those who had not completed the 12th grade. In 1990, 2000, and estimates from the 5-year period American Conmunity Survey, the share includes those who did not receive a high school diploma or its equivalent (such as a GED). For definitions of rural classifications, see the USDA, Economic Research Service webpage ""Rural Classifications"" in the ""Rural Economy and Population"" topic. Note that counties not existing when rural classifications were determined will not have values for those fields.",,,,
"Source: USDA, Economic Research Service using data from U.S. Department of Commerce, Bureau of the Census, 1970, 1980, 1990, 2000 Censuses of Population, and 2008–12 and 2017–21 American Community Survey 5-year period county-level estimates. Data as of January 24, 2023. For more information contact Austin Sanders.",,,,
Federal Information Processing Standard (FIPS) Code,State,"Percent of adults with a high school diploma only, 2017-21","Percent of adults completing some college or associate's degree, 2017-21","Percent of adults with a bachelor's degree or higher, 2017-21"
06019,CA,22.7,32.6,22.6
06021,CA,30.3,31.3,14.9
06023,CA,23.1,36.7,31.2
06025,CA,25.6,29.7,15.2
06027,CA,30.5,34.3,27.3
06029,CA,27.6,30.8,17.6
06031,CA,26.1,33.2,14.3
06033,CA,29.9,39.2,17.5
06035,CA,32.4,35.8,11.8
06037,CA,20.4,25.6,34.0
06039,CA,23.3,32.2,16.4
06041,CA,10.2,23.1,60.1
06043,CA,22.4,39.6,28.9
06045,CA,26.3,35.8,24.5
06047,CA,26.5,29.8,14.1
06049,CA,32.5,33.2,19.7
06051,CA,22.4,35.3,29.5
06053,CA,20.3,26.2,26.5
06055,CA,18.0,30.3,37.0
06057,CA,19.0,37.4,38.7
06059,CA,17.2,27.3,42.1
06061,CA,17.6,35.6,41.6
06063,CA,27.3,44.2,23.0
06065,CA,26.9,32.5,23.5
06067,CA,22.0,34.1,32.0
06069,CA,26.8,35.9,20.5
06071,CA,26.9,32.3,21.9
06073,CA,18.2,29.9,40.3
06075,CA,11.4,17.9,59.5
06077,CA,28.8,32.1,19.5
06079,CA,19.6,35.6,36.7
06081,CA,14.9,23.5,52.5
06083,CA,17.3,29.5,35.1
06085,CA,13.7,21.1,54.4
06087,CA,15.9,30.5,41.9
06089,CA,25.8,42.7,22.6
06091,CA,29.5,42.5,22.3
06093,CA,27.1,41.3,21.5
06095,CA,23.8,37.2,27.8
06097,CA,18.3,33.7,37.1
06099,CA,30.0,32.1,17.9
06101,CA,24.5,35.1,20.0
06103,CA,29.0,39.8,17.0
06105,CA,38.4,36.9,18.6
06107,CA,26.5,30.9,15.2
06109,CA,25.2,42.3,24.6
06111,CA,19.8,31.8,34.0
06113,CA,17.7,26.8,43.1
06115,CA,23.2,40.2,17.7
08000,CO,20.6,28.9,42.8
08001,CO,28.3,30.1,26.4
08003,CO,28.4,32.9,25.6
08005,CO,19.7,27.9,44.5
08007,CO,21.9,32.3,39.9
08009,CO,28.9,32.9,23.8
08011,CO,48.6,24.3,14.2
08013,CO,11.1,21.5,62.9
08014,CO,13.0,25.8,57.8
08015,CO,25.8,29.3,39.4
08017,CO,30.0,40.9,22.2
08019,CO,20.0,23.8,53.6
08021,CO,32.8,32.2,24.5
08023,CO,29.3,33.2,24.4
08025,CO,51.4,28.3,9.2
08027,CO,18.0,41.7,38.7
08029,CO,36.5,30.2,22.9
08031,CO,16.0,21.5,52.5
08033,CO,42.4,27.6,26.5
08035,CO,12.2,26.5,59.2
08037,CO,15.6,25.2,50.9
08039,CO,23.4,37.6,35.3
08041,CO,19.6,35.3,39.5
08043,CO,40.5,30.6,18.6
08045,CO,25.7,30.9,32.9
08047,CO,14.2,30.7,48.8
08049,CO,30.3,26.5,37.7
08051,CO,16.7,24.5,56.7
08053,CO,16.1,33.5,46.8
08055,CO,26.1,40.7,25.3
08057,CO,23.4,35.4,27.2
08059,CO,19.6,27.6,47.9
08061,CO,27.1,49.7,20.3
08063,CO,29.1,41.9,18.2
08065,CO,24.0,28.3,36.0
08067,CO,20.4,29.2,47.0
08069,CO,17.4,29.5,49.4
08071,CO,26.6,42.9,18.7
08073,CO,49.5,22.5,16.7
08075,CO,38.5,32.6,20.3
08077,CO,27.3,34.9,29.3
08079,CO,13.3,28.4,56.3
08081,CO,41.9,31.2,18.8
08083,CO,29.9,30.9,30.0
08085,CO,31.7,30.6,26.5
08087,CO,31.2,32.0,17.5
08089,CO,31.9,37.0,19.0
08091,CO,13.6,38.8,46.2
08093,CO,25.2,39.2,33.1
08095,CO,28.1,32.7,26.0
08097,CO,13.6,21.5,62.3
08099,CO,29.3,36.0,16.9
08101,CO,29.4,37.5,23.7
08103,CO,32.9,34.7,23.9
08105,CO,29.2,31.0,28.9
08107,CO,16.2,29.6,50.8
08109,CO,30.7,30.5,25.5
08111,CO,29.9,24.5,42.2
08113,CO,17.3,21.1,59.9
08115,CO,26.3,40.0,22.4
08117,CO,17.4,24.3,52.8
08119,CO,24.9,35.9,37.0
08121,CO,31.1,38.2,22.1
08123,CO,25.4,33.2,29.5
08125,CO,28.4,35.6,23.5
09000,CT,26.1,24.4,40.6
09001,CT,20.8,20.1,49.2
09003,CT,25.8,25.3,39.2
09005,CT,29.5,28.2,36.2
09007,CT,25.2,26.2,43.6
09009,CT,29.6,24.1,36.6
09011,CT,28.6,29.9,34.6
09013,CT,26.1,25.9,42.8
09015,CT,34.9,30.1,24.4
10000,DE,30.4,27.0,33.6
10001,DE,32.8,30.3,25.7
10003,DE,29.3,25.5,37.5
10005,DE,31.1,28.1,30.4
11000,DC,15.5,15.3,61.4
11001,DC,15.5,15.3,61.4
12000,FL,27.9,29.6,31.5
12001,FL,20.3,27.7,45.2
12003,FL,43.8,26.9,15.2
12005,FL,28.2,36.3,25.6
12007,FL,41.5,28.7,11.8
12009,FL,26.4,34.4,31.7
12011,FL,26.8,28.8,34.3
12013,FL,42.2,25.5,10.0
12015,FL,33.6,33.6,24.5
12017,FL,38.1,32.5,19.4
12019,FL,28.4,36.7,26.8
12021,FL,26.3,25.3,37.9
12023,FL,36.5,34.6,15.4
12027,FL,41.9,20.1,12.7
