"Educational attainment for adults age 25 and older for the U.S., States, and counties, 1970–2021",,,,
"Note: For 1970 and 1980, the share of adults with less than high school includes those who had not completed the 12th grade. In 1990, 2000, and estimates from the 5-year period American Conmunity Survey, the share includes those who did not receive a high school diploma or its equivalent (such as a GED). For definitions of rural classifications, see the USDA, Economic Research Service webpage ""Rural Classifications"" in the ""Rural Economy and Population"" topic. Note that counties not existing when rural classifications were determined will not have values for those fields.",,,,
"Source: USDA, Economic Research Service using data from U.S. Department of Commerce, Bureau of the Census, 1970, 1980, 1990, 2000 Censuses of Population, and 2008–12 and 2017–21 American Community Survey 5-year period county-level estimates. Data as of January 24, 2023. For more information contact Austin Sanders.",,,,
Federal Information Processing Standard (FIPS) Code,State,"Percent of adults with a high school diploma only, 2017-21","Percent of adults completing some college or associate's degree, 2017-21","Percent of adults with a bachelor's degree or higher, 2017-21"
27127,MN,37.6,36.2,19.1
27129,MN,36.3,38.2,16.0
27131,MN,32.9,30.4,28.9
27133,MN,31.7,37.0,25.7
27135,MN,36.2,37.1,20.0
27137,MN,25.3,38.1,31.2
27139,MN,20.5,32.2,42.3
27141,MN,27.5,40.9,25.9
27143,MN,38.2,37.4,17.0
27145,MN,27.2,36.4,28.7
27147,MN,29.8,33.9,27.9
27149,MN,32.0,33.2,28.3
27151,MN,33.2,37.0,20.9
27153,MN,39.5,33.7,14.6
27155,MN,36.3,42.3,14.9
27157,MN,32.4,35.2,26.8
27159,MN,34.7,39.3,16.7
27161,MN,34.8,35.6,22.5
27163,MN,19.5,29.7,47.1
27165,MN,36.2,32.1,18.8
27167,MN,34.3,37.4,22.4
27169,MN,25.7,35.8,31.8
27171,MN,28.7,34.0,31.9
27173,MN,33.4,40.8,18.2
28000,MS,29.8,32.6,23.2
28001,MS,33.8,27.9,17.9
28003,MS,31.3,29.8,19.8
28005,MS,43.2,31.6,10.6
28007,MS,34.7,33.4,13.1
28009,MS,31.8,33.3,9.3
28011,MS,24.7,30.2,25.5
28013,MS,34.7,31.3,12.4
28015,MS,34.4,31.6,14.7
28017,MS,35.5,28.6,12.5
28019,MS,37.7,25.5,18.6
28021,MS,29.5,30.8,21.3
28023,MS,37.4,35.4,12.4
28025,MS,33.9,29.9,19.7
28027,MS,24.8,38.0,18.4
28029,MS,32.4,33.2,18.2
28031,MS,31.8,36.6,15.8
28033,MS,29.2,35.8,26.1
28035,MS,25.6,34.5,28.9
28037,MS,30.3,37.5,15.9
28039,MS,34.5,36.7,13.6
28041,MS,35.5,31.1,10.8
28043,MS,30.3,31.3,20.4
28045,MS,29.6,35.2,24.1
28047,MS,28.4,36.2,24.5
28049,MS,22.9,34.4,30.9
28051,MS,35.4,29.5,12.7
28053,MS,29.8,28.4,18.1
28055,MS,38.0,17.0,4.5
28057,MS,35.1,33.8,14.7
28059,MS,28.2,37.5,23.0
28061,MS,42.4,29.6,14.9
28063,MS,33.0,27.4,18.1
28065,MS,40.6,29.9,13.9
28067,MS,31.9,33.6,20.5
28069,MS,35.7,31.9,14.0
28071,MS,20.1,26.1,45.0
28073,MS,25.6,31.3,32.8
28075,MS,26.8,37.1,20.7
28077,MS,38.5,28.3,15.0
28079,MS,35.5,29.2,16.4
28081,MS,26.0,32.0,28.3
28083,MS,36.1,27.6,18.8
28085,MS,37.7,31.5,16.2
28087,MS,32.9,29.1,25.1
28089,MS,16.9,25.0,50.2
28091,MS,37.4,34.9,11.3
28093,MS,38.2,29.9,12.9
28095,MS,38.7,27.9,16.7
28097,MS,27.3,32.3,18.1
28099,MS,32.9,35.3,13.0
28101,MS,33.7,35.7,14.7
28103,MS,39.2,25.9,12.2
28105,MS,21.2,25.6,44.1
28107,MS,31.7,32.6,15.9
28109,MS,35.3,36.1,14.5
28111,MS,44.2,30.8,9.6
28113,MS,37.1,29.9,16.3
28115,MS,28.6,33.1,17.2
28117,MS,33.5,33.6,16.8
28119,MS,34.2,29.2,11.2
28121,MS,23.8,34.5,31.5
28123,MS,33.8,31.8,12.2
28125,MS,38.9,23.9,17.0
28127,MS,30.1,33.3,16.0
28129,MS,37.7,28.7,14.8
28131,MS,32.9,36.6,14.8
28133,MS,34.0,26.0,16.1
28135,MS,35.6,30.2,12.3
28137,MS,33.2,33.6,18.9
28139,MS,32.5,30.6,14.8
28141,MS,33.5,32.6,12.8
28143,MS,40.2,28.1,15.8
28145,MS,30.5,31.3,16.4
28147,MS,38.0,25.7,18.0
28149,MS,28.4,35.3,24.2
28151,MS,31.6,28.8,20.6
28153,MS,36.1,23.8,21.0
28155,MS,35.7,31.4,17.7
28157,MS,43.7,24.2,13.4
28159,MS,36.2,33.7,15.8
28161,MS,46.2,27.6,11.4
28163,MS,36.2,28.0,11.8
29000,MO,30.5,29.8,30.7
29001,MO,33.7,25.2,33.0
29003,MO,37.7,28.6,27.3
29005,MO,43.4,26.0,20.7
29007,MO,42.5,29.6,15.1
29009,MO,41.4,28.8,14.9
29011,MO,40.7,27.5,19.5
29013,MO,48.2,25.9,14.0
29015,MO,40.5,32.2,14.3
29017,MO,47.9,25.0,11.9
29019,MO,20.9,25.6,48.5
29021,MO,38.2,29.2,22.1
29023,MO,39.8,31.3,13.1
29025,MO,44.9,29.4,14.9
29027,MO,36.2,28.9,24.0
29029,MO,36.6,32.4,22.4
29031,MO,32.2,26.9,32.8
29033,MO,44.7,26.0,19.6
29035,MO,52.1,21.7,13.2
29037,MO,32.4,33.7,27.2
29039,MO,39.3,31.5,15.4
29041,MO,46.5,25.6,19.2
29043,MO,28.8,32.2,31.5
29045,MO,44.9,29.2,12.3
29047,MO,27.1,32.3,34.2
29049,MO,43.2,28.8,21.3
29051,MO,29.7,27.6,35.3
29053,MO,38.1,27.9,23.3
29055,MO,39.1,30.0,12.0
29057,MO,43.7,31.7,13.8
29059,MO,48.5,25.3,13.0
29061,MO,40.9,26.3,20.0
29063,MO,46.3,27.9,15.3
29065,MO,41.3,26.9,15.6
29067,MO,40.5,30.0,13.2
29069,MO,40.6,24.7,13.9
29071,MO,33.7,35.1,21.1
29073,MO,40.0,30.2,18.1
29075,MO,42.0,24.2,19.9
29077,MO,28.1,33.0,31.8
29079,MO,37.2,31.0,16.2
29081,MO,45.6,29.1,16.6
29083,MO,42.6,30.3,15.7
29085,MO,47.9,31.4,9.8
29087,MO,46.6,26.6,20.9
29089,MO,34.2,26.0,27.7
29091,MO,39.2,28.4,18.2
29093,MO,39.3,27.8,15.6
29095,MO,28.1,30.9,32.4
29097,MO,33.8,29.9,23.9
29099,MO,31.8,36.9,22.1
29101,MO,31.1,32.7,29.2
29103,MO,45.4,25.9,15.4
29105,MO,42.3,27.5,16.7
29107,MO,43.4,25.5,21.5
29109,MO,39.2,30.5,15.3
29111,MO,45.2,27.4,12.7
29113,MO,40.7,31.4,18.8
29115,MO,46.0,24.8,19.1
29117,MO,41.4,26.9,20.0
29119,MO,43.5,23.7,10.9
29121,MO,45.5,27.1,17.7
29123,MO,41.6,30.2,15.7
29125,MO,39.1,29.7,17.0
29127,MO,36.6,28.7,24.3
29129,MO,42.7,26.4,18.4
29131,MO,39.2,30.1,19.7
29133,MO,47.0,19.5,13.4
29135,MO,42.4,24.9,18.3
29137,MO,48.7,26.4,15.8
29139,MO,43.8,25.7,16.4
29141,MO,40.3,25.7,13.1
29143,MO,45.5,23.1,13.7
29145,MO,35.0,31.7,22.5
29147,MO,38.6,28.3,27.0
29149,MO,43.8,25.3,14.2
29151,MO,41.9,28.2,21.7
29153,MO,40.8,28.9,11.9
29155,MO,45.8,22.2,11.7
29157,MO,40.8,26.2,19.2
29159,MO,35.2,33.9,18.3
29161,MO,30.1,29.3,31.2
29163,MO,51.8,20.4,14.9
29165,MO,21.8,30.4,44.4
29167,MO,37.4,30.2,21.6
29169,MO,29.9,35.4,29.1
29171,MO,41.1,34.6,18.7
29173,MO,49.1,26.9,14.5
29175,MO,38.4,32.4,18.2
29177,MO,45.6,28.3,15.4
29179,MO,38.0,26.1,13.7
29181,MO,40.8,30.7,10.3
29183,MO,23.1,30.5,41.8
29185,MO,41.8,32.9,13.4
29186,MO,37.5,34.9,19.0
29187,MO,38.0,33.4,14.6
29189,MO,21.1,27.7,45.3
29195,MO,38.3,24.3,24.4
29197,MO,48.7,31.3,9.7
29199,MO,41.0,23.9,14.6
29201,MO,37.9,27.4,20.3
29203,MO,46.4,24.1,15.3
29205,MO,42.3,27.5,18.9
29207,MO,43.5,24.0,13.6
29209,MO,33.9,35.5,20.7
29211,MO,48.1,21.8,15.1
29213,MO,34.4,33.4,22.3
29215,MO,40.2,30.1,14.8
29217,MO,40.2,30.0,19.1
29219,MO,37.9,30.5,19.6
29221,MO,40.4,27.4,12.6
29223,MO,43.0,28.1,10.7
29225,MO,38.6,30.4,18.3
29227,MO,49.3,23.8,18.3
29229,MO,42.8,28.5,11.7
29510,MO,24.4,26.8,38.0
30000,MT,27.8,32.9,33.7
30001,MT,28.1,33.3,33.1
30003,MT,33.9,36.1,19.4
30005,MT,26.6,39.3,24.7
30007,MT,26.5,42.8,23.5
30009,MT,30.3,33.7,31.5
30011,MT,31.2,40.3,20.8
30013,MT,31.3,34.0,27.7
30015,MT,34.8,30.0,27.3
30017,MT,29.7,36.4,28.0
30019,MT,35.4,35.3,22.3
30021,MT,30.2,41.6,23.2
30023,MT,37.5,30.7,22.5
30025,MT,34.2,42.0,19.2
30027,MT,32.1,36.8,26.4
30029,MT,27.9,33.4,33.6
30031,MT,18.3,26.9,52.2
30033,MT,41.6,34.5,21.5
30035,MT,37.2,29.7,21.7
30037,MT,37.3,35.0,19.3
30039,MT,28.2,30.0,32.8
30041,MT,30.1,35.0,26.1
30043,MT,26.6,32.2,35.8
30045,MT,29.7,42.0,23.2
30047,MT,25.3,34.5,32.5
30049,MT,23.3,30.1,42.3
30051,MT,19.9,30.0,22.7
30053,MT,38.0,34.4,19.1
30055,MT,31.6,46.3,18.2
30057,MT,28.0,36.4,31.9
30059,MT,33.4,33.4,29.6
30061,MT,33.8,33.6,25.1
30063,MT,20.8,31.3,44.2
30065,MT,35.0,35.5,20.9
30067,MT,27.1,36.2,33.3
30069,MT,41.3,29.8,28.3
30071,MT,35.1,38.4,19.0
30073,MT,29.2,39.4,22.7
30075,MT,32.2,36.6,25.0
30077,MT,42.3,29.1,18.8
30079,MT,28.8,32.5,25.7
30081,MT,29.8,34.4,28.4
30083,MT,38.8,40.3,16.2
30085,MT,32.4,38.5,19.4
30087,MT,32.9,37.2,19.3
30089,MT,39.1,32.9,19.0
30091,MT,35.0,31.9,25.7
30093,MT,34.5,31.3,28.0
30095,MT,32.0,32.7,28.0
30097,MT,32.5,41.4,22.1
30099,MT,34.4,32.9,25.2
30101,MT,35.3,28.0,26.1
30103,MT,33.5,28.2,29.3
30105,MT,33.3,40.7,19.1
30107,MT,39.3,33.4,17.8
30109,MT,38.9,29.6,24.2
30111,MT,28.0,33.3,33.7
30113,MT,,,
31000,NE,25.6,33.2,32.9
31001,NE,27.2,38.6,25.8
31003,NE,35.7,38.2,18.4
31005,NE,24.1,43.4,28.1
31007,NE,17.9,47.5,27.3
31009,NE,36.3,32.9,22.8
31011,NE,40.2,35.1,19.5
31013,NE,32.2,39.6,18.7
31015,NE,43.5,34.7,16.8
31017,NE,36.9,34.4,22.5
31019,NE,24.7,33.1,34.5
31021,NE,36.2,31.7,23.1
31023,NE,36.9,33.1,23.8
31025,NE,28.6,36.0,29.8
31027,NE,37.3,35.2,21.7
31029,NE,26.2,39.3,22.4
31031,NE,32.1,39.3,25.8
31033,NE,33.5,37.7,22.6
31035,NE,35.5,37.4,20.0
31037,NE,29.9,28.4,15.1
31039,NE,34.3,31.4,23.6
31041,NE,32.4,38.5,23.5
31043,NE,33.5,30.6,13.8
31045,NE,20.7,37.8,36.4
31047,NE,30.9,30.6,16.1
31049,NE,29.5,41.4,19.5
31051,NE,32.6,30.6,21.2
31053,NE,36.2,33.3,19.7
31055,NE,20.8,29.6,40.7
31057,NE,22.7,37.4,30.4
31059,NE,35.7,36.5,22.2
31061,NE,36.5,39.4,16.5
31063,NE,27.9,41.8,24.5
31065,NE,31.2,38.2,21.0
31067,NE,36.8,33.8,20.2
31069,NE,32.2,35.1,26.5
31071,NE,25.1,42.3,29.4
31073,NE,25.8,37.1,31.0
31075,NE,29.3,35.3,28.3
31077,NE,36.0,39.3,16.5
31079,NE,31.2,32.0,21.7
31081,NE,27.6,42.7,26.3
31083,NE,27.2,40.3,25.3
31085,NE,30.1,44.5,18.8
31087,NE,30.9,45.8,18.3
31089,NE,30.2,37.2,26.3
31091,NE,38.3,28.1,26.4
31093,NE,39.9,35.3,20.2
31095,NE,38.6,36.2,16.9
31097,NE,45.1,24.7,18.7
31099,NE,29.0,38.9,26.9
31101,NE,28.8,40.7,20.2
31103,NE,30.3,37.2,27.8
31105,NE,38.3,36.9,12.7
31107,NE,35.7,37.8,18.8
31109,NE,21.0,32.2,40.1
31111,NE,30.3,42.3,21.3
31113,NE,24.6,45.0,26.4
31115,NE,37.9,42.3,18.0
31117,NE,28.7,40.5,23.9
31119,NE,31.4,36.4,24.3
31121,NE,37.5,39.3,16.3
31123,NE,34.3,36.8,19.6
31125,NE,33.5,41.5,18.0
31127,NE,28.8,32.7,29.4
31129,NE,32.6,36.9,22.7
31131,NE,33.4,33.2,26.4
31133,NE,39.4,29.8,16.0
31135,NE,24.0,41.3,24.2
31137,NE,28.3,37.9,25.8
31139,NE,34.0,37.6,22.7
31141,NE,29.5,35.5,23.5
31143,NE,36.4,36.7,18.1
31145,NE,31.5,37.5,23.6
31147,NE,39.7,34.5,19.4
31149,NE,30.7,35.6,29.6
31151,NE,27.8,34.2,18.2
31153,NE,20.8,33.5,41.1
31155,NE,30.4,35.2,29.1
31157,NE,28.4,35.9,25.0
31159,NE,28.5,35.3,30.5
31161,NE,32.9,36.9,20.1
31163,NE,35.1,36.1,20.5
31165,NE,25.4,43.9,25.5
31167,NE,31.0,43.2,20.5
31169,NE,33.1,37.7,22.7
31171,NE,23.8,44.0,24.5
31173,NE,34.6,37.0,18.9
31175,NE,30.2,37.5,26.3
31177,NE,27.2,34.7,33.7
31179,NE,28.9,33.9,33.4
31181,NE,32.6,42.1,19.6
31183,NE,26.0,43.1,25.8
31185,NE,29.0,40.0,25.2
32000,NV,27.8,33.2,26.1
32001,NV,32.7,42.0,18.9
32003,NV,28.0,32.6,25.8
32005,NV,24.6,37.8,31.8
32007,NV,34.7,38.0,16.3
32009,NV,26.1,35.0,19.1
32011,NV,41.3,42.7,11.1
32013,NV,34.4,32.1,19.6
32015,NV,38.2,41.8,8.2
32017,NV,40.6,31.0,15.2
32019,NV,31.3,39.4,15.9
32021,NV,38.3,36.7,13.8
32023,NV,36.2,37.5,12.7
32027,NV,43.4,30.3,10.4
32029,NV,27.1,38.6,28.3
32031,NV,23.7,32.5,32.3
32033,NV,43.0,34.1,13.4
32510,NV,26.5,38.1,23.1
33000,NH,27.3,28.1,38.2
33001,NH,29.3,33.1,31.2
33003,NH,27.7,30.0,37.4
33005,NH,31.8,28.8,33.1
33007,NH,39.2,30.0,20.0
33009,NH,25.7,24.7,42.6
33011,NH,25.6,27.7,39.6
33013,NH,29.1,28.2,35.8
33015,NH,25.2,27.5,42.8
33017,NH,26.7,30.3,36.9
33019,NH,37.5,23.6,29.6
34000,NJ,26.4,22.6,41.5
34001,NJ,32.4,26.0,29.4
34003,NJ,21.4,20.3,51.2
34005,NJ,26.9,27.1,40.0
34007,NJ,29.1,26.4,33.6
34009,NJ,31.3,27.8,35.0
34011,NJ,39.1,24.6,17.0
34013,NJ,28.0,22.0,36.7
34015,NJ,31.3,27.9,34.5
34017,NJ,23.8,17.3,45.7
34019,NJ,20.0,21.4,54.3
34021,NJ,25.3,20.6,43.6
34023,NJ,24.0,21.0,44.8
34025,NJ,22.0,23.6,48.5
34027,NJ,19.0,19.8,55.8
34029,NJ,33.4,27.2,32.2
34031,NJ,34.0,21.2,29.8
34033,NJ,38.4,28.8,23.3
34035,NJ,19.2,19.0,56.1
34037,NJ,29.6,27.6,38.1
34039,NJ,27.9,21.8,37.6
34041,NJ,31.8,26.9,34.5
35000,NM,26.0,32.2,28.5
35001,NM,22.4,31.5,36.3
35003,NM,41.8,36.2,16.9
35005,NM,26.5,36.4,16.9
35006,NM,32.3,33.9,15.6
35007,NM,31.6,36.3,21.8
35009,NM,24.2,35.3,21.3
35011,NM,27.2,43.0,10.7
35013,NM,21.5,29.2,30.0
35015,NM,31.3,34.8,16.9
35017,NM,27.3,33.2,26.7
35019,NM,49.5,25.8,8.5
35021,NM,28.8,32.8,25.1
35023,NM,38.1,27.2,18.0
35025,NM,32.6,28.8,14.8
35027,NM,30.3,35.4,24.4
35028,NM,9.7,19.9,68.5
35029,NM,35.6,23.1,12.0
35031,NM,36.3,30.6,12.2
35033,NM,38.9,35.9,17.1
35035,NM,29.1,37.1,20.1
35037,NM,40.4,28.3,15.5
35039,NM,35.2,33.4,17.7
35041,NM,31.2,30.1,21.8
35043,NM,24.9,35.5,31.0
35045,NM,30.2,40.7,14.9
35047,NM,24.8,36.0,23.9
35049,NM,21.8,27.2,41.1
35051,NM,35.5,34.2,19.8
35053,NM,40.5,25.2,18.2
35055,NM,26.8,32.8,32.5
35057,NM,37.9,34.2,15.2
35059,NM,43.5,24.7,16.2
35061,NM,31.7,33.7,19.4
36000,NY,25.2,24.1,38.1
36001,NY,21.2,27.3,44.3
36003,NY,35.2,33.4,22.4
36005,NY,27.9,25.3,20.9
36007,NY,30.6,31.1,28.9
36009,NY,39.7,29.8,20.0
36011,NY,32.3,33.6,22.2
36013,NY,34.6,31.4,23.3
36015,NY,34.3,31.2,23.9
36017,NY,41.2,29.4,18.3
36019,NY,35.2,26.9,25.4
36021,NY,29.4,26.9,34.9
36023,NY,30.6,31.4,28.1
36025,NY,39.5,27.5,23.0
36027,NY,26.2,27.6,37.7
36029,NY,26.2,30.0,35.9
36031,NY,33.6,27.1,30.5
36033,NY,37.8,28.7,21.6
36035,NY,36.8,32.2,18.2
36037,NY,38.4,32.2,22.0
36039,NY,36.9,25.4,25.6
36041,NY,27.0,32.3,20.5
36043,NY,35.8,33.6,21.4
36045,NY,32.5,34.4,24.3
36047,NY,25.2,18.9,39.5
36049,NY,43.3,29.0,18.8
36051,NY,30.7,32.2,28.9
36053,NY,35.3,31.2,26.2
36055,NY,23.1,28.1,40.0
36057,NY,35.6,33.8,19.2
36059,NY,21.8,22.4,47.5
36061,NY,12.2,13.6,62.6
36063,NY,31.8,33.6,26.3
36065,NY,30.8,31.8,26.2
36067,NY,25.4,29.4,36.5
36069,NY,25.5,30.3,37.5
36071,NY,28.6,29.9,31.4
36073,NY,40.6,29.2,17.2
36075,NY,37.3,31.6,20.8
36077,NY,32.2,27.3,33.3
36079,NY,26.4,25.5,41.5
36081,NY,26.7,22.1,33.9
36083,NY,27.3,30.6,34.3
36085,NY,29.9,23.8,34.9
36087,NY,22.1,24.8,42.0
36089,NY,35.6,29.4,23.6
36091,NY,24.0,27.0,42.7
36093,NY,27.1,31.0,33.3
36095,NY,36.4,31.0,23.2
36097,NY,35.0,31.5,24.3
36099,NY,33.3,30.0,21.5
36101,NY,35.0,31.0,25.5
36103,NY,25.8,26.3,38.3
36105,NY,32.4,27.2,27.0
36107,NY,35.8,31.1,25.8
36109,NY,17.5,22.2,55.3
36111,NY,28.3,28.7,34.5
36113,NY,28.1,30.4,33.1
36115,NY,39.0,29.1,20.6
36117,NY,32.5,33.4,24.4
36119,NY,18.4,19.8,50.6
36121,NY,37.8,32.5,18.1
36123,NY,34.4,27.3,24.5
37000,NC,25.2,30.8,33.0
37001,NC,28.6,32.8,26.3
37003,NC,39.8,30.3,14.9
37005,NC,31.1,27.9,20.4
37007,NC,41.0,29.7,11.8
37009,NC,31.2,36.3,19.6
37011,NC,29.5,32.7,23.9
37013,NC,32.0,35.3,20.4
37015,NC,36.9,28.3,15.0
37017,NC,32.4,34.9,17.7
37019,NC,28.0,33.2,31.7
37021,NC,23.0,26.6,42.3
37023,NC,31.2,33.4,18.7
37025,NC,25.3,30.6,34.8
37027,NC,32.8,32.1,16.6
37029,NC,31.1,35.0,23.8
37031,NC,23.9,38.0,30.1
37033,NC,35.2,32.2,15.1
37035,NC,29.7,32.8,24.0
37037,NC,19.6,24.9,45.0
37039,NC,32.9,34.4,22.5
37041,NC,31.5,30.4,22.6
37043,NC,25.1,36.8,27.0
37045,NC,34.9,32.6,18.9
37047,NC,36.5,33.5,14.1
37049,NC,26.1,38.1,25.6
37051,NC,26.6,39.5,25.9
37053,NC,31.2,35.0,26.1
37055,NC,22.2,32.9,40.2
37057,NC,32.4,34.2,19.3
37059,NC,32.6,31.5,26.2
37061,NC,31.7,32.4,15.6
37063,NC,17.3,21.9,50.7
37065,NC,38.2,29.0,17.4
37067,NC,25.1,29.7,34.5
37069,NC,30.0,33.9,22.6
37071,NC,30.1,33.4,23.3
37073,NC,41.1,37.3,11.0
37075,NC,36.0,33.0,13.5
37077,NC,30.5,32.1,23.4
37079,NC,32.8,34.0,10.8
37081,NC,23.0,29.9,37.2
37083,NC,37.1,28.1,14.8
37085,NC,29.0,36.5,23.0
37087,NC,27.0,35.0,27.7
37089,NC,25.2,33.5,33.0
37091,NC,35.7,31.7,16.3
37093,NC,28.5,39.4,19.8
37095,NC,34.9,32.6,11.1
37097,NC,27.1,32.4,31.6
37099,NC,29.2,31.3,28.8
37101,NC,27.7,36.5,24.6
37103,NC,36.0,32.6,14.7
37105,NC,26.6,38.2,20.8
37107,NC,34.3,32.7,14.0
37109,NC,30.4,34.2,24.3
37111,NC,32.7,34.4,18.3
37113,NC,32.1,32.7,24.0
37115,NC,31.2,26.7,31.7
37117,NC,34.6,33.4,14.5
37119,NC,16.5,27.4,46.9
37121,NC,30.8,35.2,22.3
37123,NC,33.7,32.1,16.5
37125,NC,20.0,32.1,40.1
37127,NC,32.9,32.7,21.8
37129,NC,19.2,31.7,42.8
37131,NC,34.0,30.2,16.7
37133,NC,29.6,37.3,24.8
37135,NC,12.9,19.6,61.3
37137,NC,30.8,35.2,23.5
37139,NC,29.1,34.5,25.7
37141,NC,26.4,34.0,29.0
37143,NC,29.0,37.0,20.3
37145,NC,34.3,36.0,17.6
37147,NC,24.4,32.8,32.6
37149,NC,25.6,33.3,33.8
37151,NC,34.9,32.9,16.1
37153,NC,31.5,33.6,17.5
37155,NC,33.3,30.4,14.2
37157,NC,33.9,34.3,15.6
37159,NC,32.9,34.1,19.9
37161,NC,32.2,34.0,19.3
37163,NC,35.1,32.1,14.7
37165,NC,33.6,32.4,15.3
37167,NC,32.7,35.4,17.9
37169,NC,40.5,31.9,14.0
37171,NC,28.7,33.3,19.0
37173,NC,32.2,31.4,21.4
37175,NC,24.2,31.9,35.9
37177,NC,38.6,26.4,11.2
37179,NC,23.2,29.3,37.7
37181,NC,35.6,31.7,17.1
37183,NC,14.5,24.4,54.7
37185,NC,39.2,31.3,15.2
37187,NC,35.8,35.2,12.5
37189,NC,21.1,27.5,44.4
37191,NC,29.8,35.7,20.4
37193,NC,32.2,32.2,16.7
37195,NC,32.9,29.5,19.7
37197,NC,35.5,36.1,14.0
37199,NC,35.3,32.3,20.3
38000,ND,26.1,36.1,31.1
38001,ND,37.4,36.2,19.1
38003,ND,30.9,34.6,29.3
38005,ND,29.4,37.8,19.4
38007,ND,37.8,29.7,26.7
38009,ND,28.6,40.0,24.6
38011,ND,35.3,36.1,18.8
38013,ND,29.8,42.5,21.8
38015,ND,23.1,34.6,37.2
38017,ND,18.8,34.7,41.8
38019,ND,27.2,42.4,24.9
38021,ND,28.2,38.8,25.2
38023,ND,25.0,44.3,23.4
38025,ND,34.6,34.9,19.6
38027,ND,31.4,33.6,24.6
38029,ND,36.6,34.1,18.0
38031,ND,27.8,41.6,22.9
38033,ND,27.4,43.2,23.5
38035,ND,21.5,37.8,36.1
38037,ND,34.2,38.2,21.0
38039,ND,29.5,33.0,29.9
38041,ND,33.7,38.2,16.8
38043,ND,34.6,35.4,19.1
38045,ND,29.5,35.5,23.3
38047,ND,30.2,36.9,22.7
38049,ND,33.1,38.3,20.9
38051,ND,34.6,33.8,16.2
38053,ND,32.1,37.2,24.0
38055,ND,32.1,38.9,21.4
38057,ND,26.4,42.7,21.1
38059,ND,27.2,37.5,27.3
38061,ND,32.5,35.6,21.4
38063,ND,29.8,38.9,24.6
38065,ND,28.6,44.5,20.6
38067,ND,31.2,37.8,21.6
38069,ND,30.0,34.1,28.9
38071,ND,27.2,38.4,25.5
38073,ND,37.9,33.4,21.2
38075,ND,31.7,38.5,23.3
38077,ND,25.4,44.5,22.6
38079,ND,26.0,43.2,17.3
38081,ND,34.3,39.5,20.0
38083,ND,40.1,33.3,13.9
38085,ND,34.7,36.3,13.6
38087,ND,29.8,35.0,26.2
38089,ND,32.0,34.2,25.9
38091,ND,24.2,42.5,29.6
38093,ND,36.0,31.7,23.9
38095,ND,31.0,42.1,15.0
38097,ND,25.1,38.8,30.4
38099,ND,34.0,35.1,18.1
38101,ND,30.0,34.4,29.4
38103,ND,38.2,31.3,21.9
38105,ND,29.6,37.2,24.4
39000,OH,32.6,28.8,29.7
39001,OH,42.2,25.5,16.0
39003,OH,40.3,31.7,19.1
39005,OH,42.0,25.5,22.2
39007,OH,43.4,27.9,15.1
39009,OH,31.3,25.6,34.1
39011,OH,42.3,31.3,20.1
39013,OH,46.2,29.3,16.0
39015,OH,45.6,26.5,14.6
39017,OH,32.6,27.1,31.8
39019,OH,47.9,27.7,14.1
39021,OH,44.7,29.8,16.7
39023,OH,37.6,32.3,18.9
39025,OH,31.9,29.2,29.5
39027,OH,38.1,33.1,20.1
39029,OH,45.1,28.7,15.7
39031,OH,42.6,24.6,17.1
39033,OH,46.2,28.1,15.7
39035,OH,27.3,29.0,34.4
39037,OH,46.0,28.6,16.7
39039,OH,40.2,32.7,19.2
39041,OH,16.2,23.9,57.1
39043,OH,35.5,31.2,25.2
39045,OH,32.5,30.9,30.2
39047,OH,45.4,24.1,14.7
39049,OH,24.0,26.3,41.2
39051,OH,42.4,33.1,17.6
39053,OH,40.5,27.3,17.2
39055,OH,25.5,26.6,38.4
39057,OH,22.7,30.2,41.1
39059,OH,43.0,28.1,14.8
39061,OH,25.9,26.4,39.6
39063,OH,35.9,29.6,28.0
39065,OH,49.6,24.4,16.4
39067,OH,49.7,26.4,12.2
39069,OH,44.8,31.2,17.7
39071,OH,42.5,27.2,14.1
39073,OH,42.3,31.0,14.8
39075,OH,32.0,14.0,10.5
39077,OH,46.4,28.6,15.0
39079,OH,46.4,25.9,15.1
39081,OH,43.8,30.7,18.3
39083,OH,39.7,29.3,22.7
39085,OH,31.3,32.9,28.9
39087,OH,44.6,27.4,16.9
39089,OH,33.4,30.8,28.6
39091,OH,44.6,30.3,17.9
39093,OH,31.2,33.7,26.0
39095,OH,29.8,32.8,27.5
39097,OH,40.6,27.8,20.0
39099,OH,37.5,29.1,24.9
39101,OH,44.3,32.5,13.1
39103,OH,30.3,29.7,35.0
39105,OH,45.8,27.0,12.4
39107,OH,43.8,28.7,20.4
39109,OH,37.8,31.1,24.3
39111,OH,50.0,27.2,12.6
39113,OH,27.8,34.0,29.2
39115,OH,45.1,28.7,10.9
39117,OH,45.5,28.5,15.0
39119,OH,42.7,28.8,18.2
39121,OH,51.9,21.0,12.1
39123,OH,35.5,30.8,26.0
39125,OH,45.0,28.6,16.2
39127,OH,47.9,27.6,13.4
39129,OH,41.0,26.7,19.6
39131,OH,46.5,23.9,14.7
39133,OH,36.8,25.5,30.1
39135,OH,44.5,28.5,18.4
39137,OH,39.6,30.2,24.8
39139,OH,40.6,30.0,17.8
39141,OH,44.1,27.8,16.9
39143,OH,42.3,32.2,18.1
39145,OH,43.1,26.5,16.4
